# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  4.64560735158926E+014     1.74987648874015E+003     1.73593436136760E+003     1.16502236176110E+003     6.01456944686450E-012     3.63271743574489E+002     1.02335293157070E+002     1.11693920374394E-017     6.03420808570402E-021     9.40332670162056E-001     0.00000000000000E+000
  4.96411600571176E+014     1.70036248135677E+003     1.68679070524976E+003     1.13228591410376E+003     5.83850079529730E-012     3.53064496872310E+002     9.94604475586277E+001     1.04879858894983E-017     5.85749201198594E-021     9.22136230891659E-001     0.00000000000000E+000
  5.30782401396637E+014     1.65109765598233E+003     1.63789438941924E+003     1.09848319293036E+003     5.65751708879478E-012     3.42524988285696E+002     9.64919529476534E+001     9.81761030534305E-018     5.67584208784339E-021     9.03219321451762E-001     0.00000000000000E+000
  5.65153202222098E+014     1.60217578893411E+003     1.58934033080745E+003     1.06617148877708E+003     5.48523870463078E-012     3.32450544511300E+002     9.36543857425288E+001     9.20685922657610E-018     5.50292921904132E-021     8.85009971035496E-001     0.00000000000000E+000
  5.99524003047559E+014     1.55539741595916E+003     1.54291451854061E+003     1.03526442169512E+003     5.32106352184225E-012     3.22814194372480E+002     9.09401611718724E+001     8.64889070455736E-018     5.33814942704263E-021     8.67470880564033E-001     0.00000000000000E+000
  6.33894803873019E+014     1.51063879823137E+003     1.49849404358706E+003     1.00568177538852E+003     5.16444816976167E-012     3.13590896004200E+002     8.83422356627320E+001     8.13782764196339E-018     5.18095760039592E-021     8.50567252220053E-001     0.00000000000000E+000
  6.68265604698480E+014     1.46778477958060E+003     1.45596452648674E+003     9.77348982457025E+002     5.01490016200219E-012     3.04757374814455E+002     8.58540616433233E+001     7.66859650311230E-018     5.03085962359707E-021     8.34266590857772E-001     0.00000000000000E+000
  7.14209111898795E+014     1.42004305385082E+003     1.40858201990689E+003     9.41308557320111E+002     4.82526356090805E-012     2.93520910774673E+002     8.26889922324470E+001     7.09914560959569E-018     4.84052664024901E-021     8.13366642703762E-001     0.00000000000000E+000
  7.60152619099110E+014     1.36816455064714E+003     1.35709856423068E+003     9.07225162553216E+002     4.64649423708893E-012     2.82894707432500E+002     7.96957736197246E+001     6.58767427002894E-018     4.66110221777114E-021     7.93422783822343E-001     0.00000000000000E+000
  8.06096126299425E+014     1.31907761058658E+003     1.30838644684548E+003     8.74959684516953E+002     4.47773382225527E-012     2.72835361526046E+002     7.68621905099450E+001     6.12667391179203E-018     4.49172491487809E-021     7.74373425722789E-001     0.00000000000000E+000
