50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
4.46045e-01 6.78390e-02 1.57020e-03
4.46045e-01 1.08473e-01 3.94319e-03
4.46045e-01 1.58358e-01 8.12939e-03
4.46045e-01 2.17304e-01 1.44882e-02
4.46045e-01 2.85080e-01 2.29291e-02
4.46045e-01 3.61426e-01 3.26944e-02
4.46045e-01 4.46045e-01 4.23601e-02
4.46045e-01 5.38610e-01 5.01914e-02
4.46045e-01 6.38764e-01 5.47693e-02
4.46045e-01 7.46119e-01 5.55296e-02
4.46045e-01 8.60259e-01 5.28572e-02
4.46045e-01 9.80743e-01 4.77400e-02
4.46045e-01 1.10710e+00 4.13002e-02
4.46045e-01 1.23885e+00 3.44811e-02
4.46045e-01 1.37548e+00 2.79400e-02
4.46045e-01 1.51646e+00 2.20657e-02
4.46045e-01 1.66125e+00 1.70328e-02
4.46045e-01 1.80928e+00 1.28523e-02
4.46045e-01 1.95998e+00 9.41459e-03
4.46045e-01 2.11277e+00 6.54326e-03
4.46045e-01 2.26706e+00 4.07786e-03
4.46045e-01 2.42225e+00 1.97847e-03
4.46045e-01 2.57775e+00 3.82495e-04
4.46045e-01 2.73294e+00 -4.97976e-04
4.46045e-01 2.88723e+00 -6.34948e-04
4.46045e-01 3.04002e+00 -3.26376e-04
4.46045e-01 3.19072e+00 2.37744e-05
4.46045e-01 3.33875e+00 2.12564e-04
4.46045e-01 3.48354e+00 2.50242e-04
4.46045e-01 3.62452e+00 2.09934e-04
4.46045e-01 3.76115e+00 1.47833e-04
4.46045e-01 3.89290e+00 9.25115e-05
4.46045e-01 4.01926e+00 5.30097e-05
4.46045e-01 4.13974e+00 2.83952e-05
4.46045e-01 4.25388e+00 1.44664e-05
4.46045e-01 4.36124e+00 7.12278e-06
4.46045e-01 4.46139e+00 3.44288e-06
4.46045e-01 4.55396e+00 1.65948e-06
4.46045e-01 4.63857e+00 8.10197e-07
4.46045e-01 4.71492e+00 4.06899e-07
4.46045e-01 4.78270e+00 2.13392e-07
4.46045e-01 4.84164e+00 1.18537e-07
4.46045e-01 4.89153e+00 7.06680e-08
4.46045e-01 4.93216e+00 4.57478e-08
4.46045e-01 4.96339e+00 3.24796e-08
4.46045e-01 4.98508e+00 2.54902e-08
4.46045e-01 4.99717e+00 2.22367e-08
5.38610e-01 2.83399e-03 2.99848e-06
5.38610e-01 1.49201e-02 8.30738e-05
5.38610e-01 3.66148e-02 4.99206e-04
5.38610e-01 6.78390e-02 1.70270e-03
5.38610e-01 1.08473e-01 4.29230e-03
5.38610e-01 1.58358e-01 8.91116e-03
5.38610e-01 2.17304e-01 1.60620e-02
